scenario,TPS,mean_latency,unsafe_rate,timeout_rate,policy_invalid_rate,structural_infeasible_rate,used_backstop_template_rate,top_template,template_dominant_ratio,top_low_action,low_action_dominant_ratio,seed
load_shock,14162.382687549107,22.02556120723559,0.0,0.0,0.0,0.0,0.016666666666666666,7|0.55,0.8333333333333334,512|60,0.5340277777777778,42
high_rtt_burst,11519.317928314076,24.852629406877906,0.0,0.0,0.0,0.0,0.01597222222222222,7|0.55,0.8291666666666667,320|100,0.6048611111111111,42
churn_burst,12789.618422415968,20.90542770714569,0.0,0.0,0.0,0.018404907975460124,0.049079754601226995,7|0.55,0.8421875,320|100,0.603125,42
malicious_burst,13191.933188745928,20.966564122831024,0.0,0.0,0.0,0.0015267175572519084,0.06641221374045801,7|0.55,0.8172782874617737,320|100,0.7553516819571865,42
load_shock,12998.073178398981,24.341545849724653,0.0,0.0,0.0,0.0,0.021527777777777778,9|0.50,0.7201388888888889,512|60,0.5347222222222222,43
high_rtt_burst,10504.726146769357,27.20516406550805,0.0,0.0,0.0,0.0,0.020833333333333332,9|0.50,0.7395833333333334,320|100,0.7,43
churn_burst,11593.575522328108,23.24184960351864,0.0,0.0,0.0,0.018292682926829267,0.051829268292682924,9|0.50,0.7531055900621118,320|100,0.6537267080745341,43
malicious_burst,12118.036648651114,23.001801612779357,0.0,0.0,0.0,0.0023584905660377358,0.05817610062893082,9|0.50,0.665090622537431,320|100,0.8187549251379038,43
load_shock,14091.494183966848,22.175918111666004,0.0,0.0,0.0,0.0,0.021527777777777778,7|0.55,0.8076388888888889,512|60,0.5333333333333333,44
high_rtt_burst,11467.663272802194,24.953600303562972,0.0,0.0,0.0,0.0,0.020833333333333332,7|0.55,0.8055555555555556,320|100,0.6326388888888889,44
churn_burst,12756.134474493985,20.947485365484635,0.0,0.0,0.0,0.018209408194233688,0.051593323216995446,7|0.55,0.8330757341576507,320|100,0.5826893353941267,44
malicious_burst,13072.83992163457,21.09296864150137,0.0,0.0,0.0,0.0023584905660377358,0.050314465408805034,7|0.55,0.8148148148148148,320|100,0.7501970055161544,44
load_shock,12839.941261790771,24.45757695320688,0.0,0.0,0.0,0.0,0.021527777777777778,9|0.50,0.7173611111111111,512|60,0.5333333333333333,45
high_rtt_burst,10486.123441320266,27.293110182956372,0.0,0.0,0.0,0.0,0.020833333333333332,9|0.50,0.7347222222222223,320|100,0.7472222222222222,45
churn_burst,11685.103180678225,23.07936851374777,0.0,0.0,0.0,0.0182370820668693,0.05167173252279635,9|0.50,0.7445820433436533,320|100,0.6377708978328174,45
malicious_burst,12050.480983748552,23.15367811198886,0.0007861635220125787,0.0,0.0,0.0023584905660377358,0.050314465408805034,9|0.50,0.6312056737588653,320|100,0.8156028368794326,45
load_shock,13848.544678993543,22.531493959348982,0.0,0.0,0.0,0.0,0.021527777777777778,7|0.50,0.9347222222222222,512|60,0.5326388888888889,46
high_rtt_burst,11283.322051366033,25.37629927017417,0.0,0.0,0.0,0.0,0.034722222222222224,7|0.50,0.9215277777777777,320|100,0.7423611111111111,46
churn_burst,12627.704739050632,21.13392439356054,0.0,0.0,0.0,0.01834862385321101,0.06574923547400612,7|0.50,0.8753894080996885,320|100,0.6744548286604362,46
malicious_burst,12909.221488997648,21.477372219154493,0.0007861635220125787,0.0,0.0,0.0023584905660377358,0.050314465408805034,7|0.50,0.9180457052797478,320|100,0.8289992119779354,46
