method,scenario,unsafe_rate,structural_infeasible_rate,timeout_rate,mean_latency,TPS
Proposed,normal,0.015833333333333335,0.015833333333333335,0.18625,78.964231186074,2004.453363713207
Vanilla DQN,normal,0.015833333333333335,0.015833333333333335,0.7858333333333334,67.37645420153368,2361.8217436578716
No-Constraint Dueling Double DQN,normal,0.015,0.015,0.24208333333333334,76.10928330088196,2279.2780210446103
Global-Static-Fixed,normal,0.015833333333333335,0.015833333333333335,0.0,92.31219609005515,1708.494619181975
BTSR-2026,normal,0.015,0.015,0.22333333333333333,72.31563746320217,2321.531599205009
Zhao-2024,normal,0.015416666666666667,0.015416666666666667,0.22333333333333333,72.30887664997739,2319.6364346416726
Scenario-Oracle-Static,normal,0.015833333333333335,0.015833333333333335,0.0,74.61059002338766,2135.318030273193
Proposed,load_shock,0.0,0.0,0.39666666666666667,98.69603318616643,1517.5372634657845
Vanilla DQN,load_shock,0.0,0.0,0.8604166666666667,84.45789561421444,1818.89470802065
No-Constraint Dueling Double DQN,load_shock,0.0,0.0,0.09333333333333334,105.91207089156114,1446.6670004297914
Global-Static-Fixed,load_shock,0.0,0.0,0.0,99.1094856799047,1580.0495570438472
BTSR-2026,load_shock,0.0,0.0,0.16875,108.58737203883268,1380.0273209123236
Zhao-2024,load_shock,0.0,0.0,0.05125,110.78737203883267,1364.1919237696175
Scenario-Oracle-Static,load_shock,0.0,0.0,0.0,93.2435350551295,1672.1560624824735
Proposed,high_rtt_burst,0.0020833333333333333,0.0020833333333333333,0.5325,121.25850783803963,1604.060783426715
Vanilla DQN,high_rtt_burst,0.0020833333333333333,0.0020833333333333333,0.9375,104.96506888383662,1875.6715785088288
No-Constraint Dueling Double DQN,high_rtt_burst,0.0020833333333333333,0.0020833333333333333,0.5120833333333333,118.42253123417514,1575.54259307554
Global-Static-Fixed,high_rtt_burst,0.0020833333333333333,0.0020833333333333333,0.35,115.17472161643676,1642.8259013677905
BTSR-2026,high_rtt_burst,0.0020833333333333333,0.0020833333333333333,0.555,131.95786885526846,1474.549393019932
Zhao-2024,high_rtt_burst,0.0020833333333333333,0.0020833333333333333,0.555,131.97346317033913,1473.7537859734286
Scenario-Oracle-Static,high_rtt_burst,0.0020833333333333333,0.0020833333333333333,0.35875,106.83291067975274,1831.1930039931563
Proposed,churn_burst,0.34625,0.23083333333333333,0.19583333333333333,66.33624763732016,1570.1439933879942
Vanilla DQN,churn_burst,0.3458333333333333,0.23,0.6708333333333333,56.19983077367484,1923.9486208391747
No-Constraint Dueling Double DQN,churn_burst,0.34625,0.23041666666666666,0.015,75.72793137905224,1391.2674433442737
Global-Static-Fixed,churn_burst,0.3458333333333333,0.23,0.0625,66.61571987841354,1650.823979606178
BTSR-2026,churn_burst,0.35083333333333333,0.23291666666666666,0.20291666666666666,64.28216348881398,1622.183108705567
Zhao-2024,churn_burst,0.35083333333333333,0.23291666666666666,0.0875,64.93107710492288,1595.0046722553366
Scenario-Oracle-Static,churn_burst,0.3458333333333333,0.23,0.6970833333333334,58.61544774223241,1818.6688073149169
Proposed,malicious_burst,0.024166666666666666,0.024166666666666666,0.2654166666666667,81.44447532081672,1921.4803663577868
Vanilla DQN,malicious_burst,0.024583333333333332,0.024583333333333332,0.7879166666666667,66.84926291896882,2347.975302522403
No-Constraint Dueling Double DQN,malicious_burst,0.024166666666666666,0.024166666666666666,0.01375,97.86048221441922,1583.6071508852008
Global-Static-Fixed,malicious_burst,0.022916666666666665,0.022916666666666665,0.0,91.50696915579431,1706.1046592555656
BTSR-2026,malicious_burst,0.025,0.025,0.22083333333333333,71.43125150157917,2340.6920193508013
Zhao-2024,malicious_burst,0.0175,0.0175,0.0975,71.8515638096031,2362.437859499076
Scenario-Oracle-Static,malicious_burst,0.024583333333333332,0.024583333333333332,0.0,73.96914854749026,2125.376613657092
