action,count,ratio
0.185185|0.45|384|80,5268,0.054875
0.259259|0.55|320|60,2403,0.02503125
0.185185|0.60|512|40,1756,0.018291666666666668
0.185185|0.50|320|40,1564,0.016291666666666666
0.185185|0.50|256|100,1507,0.015697916666666666
0.185185|0.60|256|100,1390,0.014479166666666666
0.185185|0.50|256|60,1334,0.013895833333333333
0.185185|0.45|256|80,1117,0.011635416666666667
0.185185|0.60|384|60,1091,0.011364583333333334
0.185185|0.45|256|40,961,0.010010416666666667
0.333333|0.60|512|100,799,0.008322916666666666
0.185185|0.50|256|40,756,0.007875
0.185185|0.45|448|80,752,0.007833333333333333
0.185185|0.60|384|80,734,0.0076458333333333335
0.185185|0.60|320|60,714,0.0074375
0.185185|0.50|320|100,701,0.007302083333333333
0.185185|0.60|384|40,690,0.0071875
0.185185|0.50|384|60,655,0.006822916666666666
0.185185|0.50|320|80,654,0.0068125
0.185185|0.55|256|100,647,0.0067395833333333335
0.185185|0.60|448|60,641,0.0066770833333333335
0.333333|0.60|512|80,626,0.006520833333333333
0.185185|0.55|512|100,601,0.006260416666666667
0.259259|0.50|384|60,589,0.006135416666666667
0.259259|0.50|512|40,586,0.006104166666666667
0.185185|0.45|320|100,581,0.006052083333333333
0.185185|0.55|448|60,574,0.0059791666666666665
0.259259|0.60|256|100,566,0.005895833333333334
0.333333|0.50|384|100,562,0.005854166666666666
0.185185|0.60|512|80,557,0.005802083333333334
0.259259|0.60|256|80,557,0.005802083333333334
0.185185|0.60|512|100,552,0.00575
0.185185|0.60|256|40,550,0.005729166666666666
0.333333|0.45|320|40,550,0.005729166666666666
0.259259|0.55|384|80,528,0.0055
0.185185|0.55|320|60,521,0.005427083333333333
0.185185|0.55|448|40,518,0.005395833333333333
0.185185|0.45|320|80,515,0.005364583333333333
0.185185|0.50|256|80,476,0.004958333333333334
0.333333|0.50|256|80,473,0.004927083333333334
0.185185|0.60|512|60,473,0.004927083333333334
0.185185|0.50|512|40,471,0.00490625
0.333333|0.60|384|60,464,0.004833333333333334
0.259259|0.50|448|80,464,0.004833333333333334
0.259259|0.50|256|100,457,0.004760416666666666
0.259259|0.50|256|60,456,0.00475
0.259259|0.55|512|40,454,0.004729166666666666
0.259259|0.55|448|100,451,0.004697916666666667
0.185185|0.45|384|60,445,0.004635416666666667
0.185185|0.55|448|80,430,0.004479166666666667
0.185185|0.55|512|60,428,0.004458333333333333
0.333333|0.55|512|60,427,0.004447916666666667
0.259259|0.50|448|100,422,0.004395833333333333
0.185185|0.50|448|40,418,0.004354166666666667
0.259259|0.55|384|60,415,0.004322916666666667
0.259259|0.55|512|60,408,0.00425
0.259259|0.45|384|60,404,0.004208333333333333
0.259259|0.45|256|80,403,0.004197916666666667
0.185185|0.45|384|100,403,0.004197916666666667
0.185185|0.55|384|80,402,0.0041875
0.185185|0.45|320|60,402,0.0041875
0.185185|0.45|448|60,400,0.004166666666666667
0.259259|0.45|320|80,395,0.004114583333333333
0.185185|0.60|320|80,391,0.0040729166666666665
0.185185|0.45|512|100,388,0.0040416666666666665
0.259259|0.45|384|80,384,0.004
0.185185|0.45|512|60,383,0.003989583333333334
0.333333|0.50|384|40,381,0.00396875
0.185185|0.45|256|60,380,0.003958333333333334
0.185185|0.45|384|40,379,0.003947916666666666
0.259259|0.60|512|60,374,0.003895833333333333
0.185185|0.45|256|100,373,0.003885416666666667
0.259259|0.60|448|40,371,0.003864583333333333
0.259259|0.60|512|40,370,0.0038541666666666668
0.259259|0.60|384|100,367,0.0038229166666666667
0.333333|0.60|448|60,365,0.0038020833333333335
0.333333|0.55|512|40,352,0.0036666666666666666
0.259259|0.45|384|40,351,0.00365625
0.259259|0.45|448|60,350,0.0036458333333333334
0.333333|0.60|256|100,348,0.003625
0.185185|0.45|512|80,345,0.00359375
0.185185|0.55|320|40,344,0.0035833333333333333
0.333333|0.45|512|80,343,0.0035729166666666665
0.333333|0.45|384|60,342,0.0035625
0.333333|0.60|256|80,342,0.0035625
0.185185|0.55|512|40,340,0.0035416666666666665
0.333333|0.60|320|60,339,0.00353125
0.185185|0.60|256|80,336,0.0035
0.259259|0.55|448|60,335,0.0034895833333333333
0.259259|0.45|256|40,335,0.0034895833333333333
0.333333|0.50|320|40,333,0.00346875
0.259259|0.55|512|100,332,0.0034583333333333332
0.333333|0.60|512|40,330,0.0034375
0.185185|0.50|448|60,329,0.003427083333333333
0.259259|0.60|512|80,328,0.003416666666666667
0.259259|0.55|448|40,328,0.003416666666666667
0.185185|0.50|512|60,327,0.00340625
0.333333|0.50|384|80,327,0.00340625
0.259259|0.60|448|60,325,0.0033854166666666668
0.333333|0.50|448|100,320,0.0033333333333333335
0.333333|0.60|320|80,319,0.0033229166666666667
0.185185|0.60|320|40,317,0.0033020833333333335
0.259259|0.45|384|100,315,0.00328125
0.259259|0.50|320|80,313,0.0032604166666666667
0.259259|0.55|320|40,312,0.00325
0.333333|0.50|512|60,310,0.0032291666666666666
0.259259|0.55|256|40,310,0.0032291666666666666
0.333333|0.55|448|40,309,0.00321875
0.259259|0.45|448|100,308,0.0032083333333333334
0.259259|0.60|384|60,307,0.0031979166666666666
0.259259|0.55|384|40,306,0.0031875
0.185185|0.55|256|60,305,0.0031770833333333334
0.333333|0.55|448|60,304,0.0031666666666666666
0.333333|0.45|256|80,303,0.00315625
0.333333|0.45|448|100,302,0.0031458333333333334
0.185185|0.50|512|100,302,0.0031458333333333334
0.259259|0.45|512|100,301,0.0031354166666666666
0.185185|0.50|384|80,300,0.003125
0.259259|0.60|448|80,297,0.00309375
0.333333|0.55|448|100,296,0.0030833333333333333
0.333333|0.55|256|40,295,0.0030729166666666665
0.259259|0.60|256|60,295,0.0030729166666666665
0.333333|0.50|256|60,293,0.0030520833333333333
0.333333|0.55|384|60,291,0.00303125
0.259259|0.55|256|100,291,0.00303125
0.333333|0.50|448|80,291,0.00303125
0.259259|0.55|512|80,290,0.0030208333333333333
0.333333|0.45|448|60,289,0.003010416666666667
0.333333|0.55|512|80,286,0.002979166666666667
0.259259|0.55|384|100,285,0.00296875
0.185185|0.55|512|80,285,0.00296875
0.259259|0.60|320|100,284,0.002958333333333333
0.333333|0.45|320|80,284,0.002958333333333333
0.333333|0.50|448|60,284,0.002958333333333333
0.185185|0.60|448|100,284,0.002958333333333333
0.333333|0.55|320|100,284,0.002958333333333333
0.333333|0.45|256|60,280,0.002916666666666667
0.259259|0.60|256|40,279,0.00290625
0.333333|0.50|512|40,278,0.002895833333333333
0.259259|0.55|256|60,278,0.002895833333333333
0.259259|0.50|512|60,278,0.002895833333333333
0.333333|0.45|512|60,277,0.0028854166666666668
0.259259|0.45|448|80,277,0.0028854166666666668
0.333333|0.50|320|100,276,0.002875
0.259259|0.50|384|80,275,0.002864583333333333
0.185185|0.45|512|40,274,0.0028541666666666667
0.185185|0.55|384|100,274,0.0028541666666666667
0.333333|0.45|384|100,274,0.0028541666666666667
0.333333|0.55|256|80,273,0.00284375
0.259259|0.45|256|100,273,0.00284375
0.259259|0.60|320|60,272,0.0028333333333333335
0.333333|0.45|384|80,271,0.0028229166666666667
0.333333|0.45|448|80,271,0.0028229166666666667
0.259259|0.50|320|60,270,0.0028125
0.185185|0.60|320|100,269,0.0028020833333333335
0.185185|0.55|256|40,269,0.0028020833333333335
0.259259|0.55|320|80,268,0.0027916666666666667
0.259259|0.55|320|100,267,0.00278125
0.333333|0.60|320|40,267,0.00278125
0.259259|0.45|512|60,266,0.0027708333333333335
0.259259|0.50|512|80,266,0.0027708333333333335
0.333333|0.45|384|40,266,0.0027708333333333335
0.333333|0.55|384|100,265,0.0027604166666666667
0.259259|0.60|384|80,264,0.00275
0.259259|0.55|256|80,262,0.0027291666666666666
0.333333|0.50|384|60,261,0.00271875
0.185185|0.45|320|40,261,0.00271875
0.259259|0.60|320|80,260,0.0027083333333333334
0.333333|0.55|384|40,259,0.0026979166666666666
0.259259|0.60|320|40,259,0.0026979166666666666
0.185185|0.60|448|80,257,0.0026770833333333334
0.259259|0.50|448|60,257,0.0026770833333333334
0.185185|0.50|384|100,257,0.0026770833333333334
0.333333|0.45|256|100,255,0.00265625
0.333333|0.45|256|40,255,0.00265625
0.333333|0.50|256|40,254,0.0026458333333333334
0.333333|0.45|512|100,253,0.0026354166666666665
0.185185|0.50|512|80,253,0.0026354166666666665
0.333333|0.45|320|60,252,0.002625
0.185185|0.60|384|100,252,0.002625
0.259259|0.45|448|40,251,0.0026145833333333333
0.259259|0.45|256|60,251,0.0026145833333333333
0.259259|0.45|512|80,251,0.0026145833333333333
0.185185|0.45|448|100,250,0.0026041666666666665
0.259259|0.60|448|100,250,0.0026041666666666665
0.185185|0.60|256|60,250,0.0026041666666666665
0.185185|0.50|448|80,249,0.00259375
0.185185|0.60|448|40,249,0.00259375
0.259259|0.45|320|100,247,0.0025729166666666665
0.259259|0.50|320|40,247,0.0025729166666666665
0.185185|0.55|384|40,247,0.0025729166666666665
0.185185|0.55|320|80,246,0.0025625
0.333333|0.50|512|100,246,0.0025625
0.259259|0.45|512|40,245,0.0025520833333333333
0.259259|0.45|320|60,245,0.0025520833333333333
0.333333|0.60|384|80,244,0.0025416666666666665
0.333333|0.60|320|100,244,0.0025416666666666665
0.333333|0.55|448|80,244,0.0025416666666666665
0.333333|0.55|320|60,243,0.00253125
0.333333|0.45|448|40,242,0.0025208333333333333
0.185185|0.50|384|40,241,0.002510416666666667
0.185185|0.55|448|100,241,0.002510416666666667
0.333333|0.55|320|80,240,0.0025
0.333333|0.60|512|60,239,0.0024895833333333332
0.259259|0.60|384|40,238,0.002479166666666667
0.259259|0.50|384|40,238,0.002479166666666667
0.333333|0.50|448|40,235,0.002447916666666667
0.333333|0.50|256|100,234,0.0024375
0.333333|0.50|320|80,234,0.0024375
0.259259|0.45|320|40,234,0.0024375
0.259259|0.50|384|100,233,0.002427083333333333
0.185185|0.55|256|80,233,0.002427083333333333
0.333333|0.60|384|40,233,0.002427083333333333
0.333333|0.55|512|100,232,0.002416666666666667
0.333333|0.50|512|80,232,0.002416666666666667
0.333333|0.55|320|40,232,0.002416666666666667
0.259259|0.50|448|40,231,0.00240625
0.259259|0.50|512|100,231,0.00240625
0.333333|0.55|256|60,231,0.00240625
0.185185|0.50|320|60,230,0.002395833333333333
0.333333|0.60|256|40,230,0.002395833333333333
0.185185|0.55|384|60,228,0.002375
0.259259|0.50|320|100,228,0.002375
0.333333|0.45|320|100,228,0.002375
0.185185|0.50|448|100,227,0.002364583333333333
0.185185|0.45|448|40,226,0.0023541666666666667
0.333333|0.50|320|60,225,0.00234375
0.333333|0.45|512|40,225,0.00234375
0.333333|0.60|448|80,224,0.0023333333333333335
0.333333|0.60|448|40,222,0.0023125
0.333333|0.60|384|100,221,0.0023020833333333335
0.259259|0.55|448|80,221,0.0023020833333333335
0.259259|0.50|256|80,220,0.0022916666666666667
0.185185|0.55|320|100,219,0.00228125
0.333333|0.55|384|80,219,0.00228125
0.259259|0.50|256|40,215,0.0022395833333333334
0.333333|0.60|256|60,214,0.0022291666666666666
0.259259|0.60|512|100,210,0.0021875
0.333333|0.60|448|100,200,0.0020833333333333333
0.333333|0.55|256|100,199,0.0020729166666666665
